Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
SUNDRMFAST,Sundram Fasteners,Auto,912.00,34.99,0.67,39.12,26.10,884.00,"1,505.95",4.31%,6.60%,9.31%,16.03%,1.06,1.86,16.23%,8.76%,-15.19%,5.27,0.23,N/A,N/A,No News,N/A,N/A,N/A,N/A
M&M,Mahindra & Mahindra,Auto,"2,665.80",24.10,1.05,40.61,110.62,"1,788.80","3,270.95",11.16%,10.98%,8.07%,18.30%,0.47,1.30,16.97%,6.29%,74.06%,4.22,1.46,N/A,N/A,No News,N/A,N/A,N/A,N/A
MOTHERSON,Samvardhana Motherson International,Auto,130.99,22.35,1.50,52.18,6.03,115.83,216.99,18.07%,104.38%,3.73%,9.86%,0.65,0.97,11.48%,4.67%,58.96%,n/a,0.73,N/A,N/A,No News,N/A,N/A,N/A,N/A
ABBOTINDIA,Abbott India,Healthcare,"30,650",48.93,0.07,56.37,628.00,"25,200","31,899",8.51%,16.49%,21.38%,24.82%,1.91,2.42,34.88%,17.69%,30.17%,n/a,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
ALKEM,Alkem Laboratories,Healthcare,"4,866.80",27.11,0.52,51.19,180.09,"4,407.05","6,439.90",0.97%,36.88%,16.88%,19.34%,1.68,2.61,17.98%,8.38%,8.29%,5.08,0.12,N/A,N/A,,N/A,N/A,N/A,N/A
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,"6,614.00",72.61,0.38,60.28,91.12,"5,693.20","7,545.35",14.81%,65.98%,6.20%,12.75%,0.86,1.13,13.50%,6.84%,27.91%,13.25,0.93,N/A,N/A,,N/A,N/A,N/A,N/A
AUROPHARMA,Aurobindo Pharma,Healthcare,"1,155.00",19.40,0.66,53.33,59.81,"1,031.05","1,592.00",10.85%,26.62%,11.29%,21.25%,0.96,1.98,11.18%,6.46%,22.03%,2.19,0.27,N/A,N/A,,N/A,N/A,N/A,N/A
BIOCON,Biocon,Healthcare,340.90,50.92,0.43,51.25,6.71,259.85,404.70,1.02%,-33.10%,5.45%,21.98%,0.61,0.99,5.43%,2.06%,46.69%,2.00,0.63,N/A,N/A,,N/A,N/A,N/A,N/A
CIPLA,Cipla,Healthcare,"1,441.00",23.36,0.38,42.46,61.74,"1,317.25","1,702.05",6.39%,34.51%,18.67%,25.14%,2.47,3.71,16.45%,10.75%,22.72%,4.11,0.02,N/A,N/A,,N/A,N/A,N/A,N/A
DIVISLAB,Divi's Laboratories,Healthcare,"5,776.65",74.19,0.38,50.83,77.84,"3,450.00","6,285.45",21.16%,49.38%,22.77%,31.17%,4.74,7.57,12.15%,7.65%,56.22%,11.18,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
